user_id,age,gender,height_cm,weight_kg,bmi,activity_level,nutrition_goal,recommended_category,daily_calorie_goal
147,55,male,171.9,62.0,20.98,very_active,weight_loss,Low Calorie,1696
148,61,female,148.9,95.0,42.85,moderately_active,maintenance,Low Calorie,1889
149,23,male,177.1,93.2,29.72,moderately_active,muscle_gain,Low Calorie,2368
150,45,female,174.0,61.2,20.21,moderately_active,weight_loss,Low Calorie,1639
151,24,male,175.9,57.4,18.55,very_active,muscle_gain,High Protein,2292
152,15,female,152.9,51.8,22.16,moderately_active,muscle_gain,High Protein,2798
153,55,female,173.2,51.0,17.0,lightly_active,maintenance,High Energy,1812
154,54,female,151.6,48.5,21.1,very_active,muscle_gain,High Protein,2618
155,23,male,149.7,47.0,20.97,very_active,weight_loss,Low Calorie,1449
156,49,male,153.0,70.0,29.9,very_active,weight_gain,Low Calorie,2924
157,46,male,170.8,96.6,33.11,moderately_active,weight_loss,Low Calorie,1753
158,28,female,158.3,97.3,38.83,moderately_active,weight_loss,Low Calorie,1751
159,49,female,172.1,80.5,27.18,sedentary,maintenance,Fiber Rich,1941
160,22,male,183.1,90.3,26.93,sedentary,weight_gain,High Energy,3157
161,18,male,177.1,58.4,18.62,lightly_active,weight_gain,High Energy,2570
162,52,male,156.0,92.8,38.13,moderately_active,weight_gain,Low Calorie,3110
163,32,male,179.8,53.0,16.39,lightly_active,muscle_gain,High Protein,2378
164,57,male,180.1,52.2,16.09,moderately_active,weight_gain,High Protein,3102
165,16,female,150.2,47.9,21.23,very_active,weight_loss,Low Calorie,1781
166,45,male,164.6,64.9,23.95,sedentary,maintenance,Balanced Diet,2057
167,54,male,149.6,88.1,39.37,moderately_active,maintenance,Low Calorie,2129
168,18,male,184.9,91.6,26.79,very_active,weight_loss,Low Calorie,1651
169,19,female,172.0,62.7,21.19,lightly_active,weight_loss,Low Calorie,1464
170,54,female,164.0,75.2,27.96,moderately_active,maintenance,Low Calorie,2105
171,44,female,160.2,68.7,26.77,sedentary,weight_gain,High Energy,2940
172,29,female,157.4,90.5,36.53,very_active,maintenance,Low Calorie,2173
173,35,male,163.8,81.6,30.41,moderately_active,weight_gain,Low Calorie,2985
174,20,male,178.8,50.1,15.67,sedentary,muscle_gain,High Protein,2333
175,52,male,183.4,75.9,22.57,sedentary,maintenance,Balanced Diet,1981
176,61,female,146.5,60.8,28.33,moderately_active,muscle_gain,Low Calorie,2306
177,24,male,172.3,57.3,19.3,sedentary,muscle_gain,High Protein,2769
178,22,female,167.9,76.6,27.17,very_active,weight_loss,Low Calorie,1711
179,16,female,150.4,83.6,36.96,moderately_active,muscle_gain,Low Calorie,2559
180,26,male,180.2,76.1,23.44,very_active,weight_loss,Low Calorie,1472
181,20,male,175.6,56.8,18.42,very_active,maintenance,High Protein,1974
182,38,male,159.5,62.8,24.69,sedentary,weight_loss,Low Calorie,1479
183,63,male,170.9,82.1,28.11,moderately_active,maintenance,Low Calorie,2138
184,46,female,163.2,67.8,25.46,lightly_active,weight_loss,Low Calorie,1576
185,22,female,153.5,82.3,34.93,very_active,muscle_gain,Low Calorie,2246
186,40,male,184.4,48.0,14.12,lightly_active,muscle_gain,High Protein,2416
187,63,male,157.5,63.0,25.4,sedentary,maintenance,Fiber Rich,2182
188,26,female,148.9,74.3,33.51,lightly_active,muscle_gain,Low Calorie,2273
189,62,female,146.3,46.0,21.49,sedentary,muscle_gain,High Protein,2789
190,51,female,157.1,80.2,32.5,moderately_active,weight_loss,Low Calorie,1607
191,35,male,154.4,97.1,40.73,very_active,muscle_gain,Low Calorie,2290
192,21,female,152.3,77.4,33.37,sedentary,maintenance,Low Calorie,1958
193,29,female,155.0,54.2,22.56,sedentary,weight_gain,High Energy,2857
194,61,female,173.7,80.5,26.68,lightly_active,weight_gain,High Energy,2605
195,31,male,155.3,78.1,32.38,sedentary,weight_gain,Low Calorie,3143
196,44,female,167.6,86.8,30.9,very_active,muscle_gain,Low Calorie,2523
197,43,male,150.5,69.3,30.6,moderately_active,muscle_gain,Low Calorie,2257
198,47,female,147.2,70.4,32.49,sedentary,weight_loss,Low Calorie,1588
199,19,female,164.3,98.8,36.6,sedentary,maintenance,Low Calorie,2036
200,43,male,181.6,76.4,23.17,lightly_active,muscle_gain,High Protein,2687
201,18,male,164.7,89.6,33.03,moderately_active,weight_loss,Low Calorie,1658
202,17,male,157.2,69.1,27.96,very_active,weight_gain,Low Calorie,2872
203,33,female,156.6,87.6,35.72,sedentary,muscle_gain,Low Calorie,2267
204,21,female,161.7,66.3,25.36,moderately_active,weight_gain,High Energy,2841
205,52,male,172.6,95.4,32.02,moderately_active,maintenance,Low Calorie,1866
206,34,male,168.7,80.4,28.25,moderately_active,weight_gain,Low Calorie,3186
207,56,male,172.8,73.0,24.45,sedentary,muscle_gain,High Protein,2516
208,28,male,160.6,87.1,33.77,lightly_active,weight_gain,Low Calorie,2640
209,19,male,158.9,88.3,34.97,sedentary,muscle_gain,Low Calorie,2334
210,24,female,149.9,90.7,40.36,lightly_active,maintenance,Low Calorie,1822
211,38,female,165.3,58.1,21.26,very_active,muscle_gain,High Protein,2659
212,49,male,156.8,98.1,39.9,very_active,weight_gain,Low Calorie,2876
213,44,female,168.1,87.8,31.07,very_active,weight_gain,Low Calorie,2704
214,31,male,149.9,71.4,31.78,moderately_active,weight_loss,Low Calorie,1764
215,33,male,151.1,53.8,23.56,very_active,weight_gain,High Protein,2947
216,29,male,178.2,93.7,29.51,sedentary,maintenance,Low Calorie,1827
217,47,female,156.2,66.2,27.13,sedentary,muscle_gain,High Protein,2429
218,35,male,182.4,91.2,27.41,moderately_active,weight_gain,High Energy,2640
219,33,male,181.9,71.0,21.46,lightly_active,maintenance,Balanced Diet,2029
220,20,male,148.7,56.9,25.73,lightly_active,maintenance,Fiber Rich,1856
221,30,female,154.0,47.6,20.07,very_active,maintenance,High Protein,1832
222,46,male,170.1,45.9,15.86,lightly_active,weight_gain,High Energy,2798
223,15,female,163.4,58.2,21.8,very_active,weight_gain,High Protein,3180
224,48,male,184.1,48.7,14.37,sedentary,maintenance,High Energy,2040
225,55,male,162.3,65.5,24.87,sedentary,muscle_gain,High Protein,2269
226,30,female,167.0,79.6,28.54,moderately_active,weight_gain,Low Calorie,2545
227,49,female,155.2,80.4,33.38,very_active,maintenance,Low Calorie,2123
228,23,male,150.3,87.7,38.82,very_active,weight_loss,Low Calorie,1550
229,17,male,177.3,93.7,29.81,moderately_active,muscle_gain,Low Calorie,2727
230,49,female,159.2,47.0,18.54,lightly_active,muscle_gain,High Protein,2565
231,56,male,160.3,51.8,20.16,moderately_active,maintenance,High Protein,2004
232,39,female,155.2,55.3,22.96,very_active,muscle_gain,High Protein,2731
233,20,female,166.8,49.3,17.72,lightly_active,muscle_gain,High Protein,2528
234,20,male,160.1,61.3,23.92,very_active,maintenance,High Protein,1885
235,37,female,158.4,85.0,33.88,moderately_active,maintenance,Low Calorie,1940
236,19,male,172.8,67.3,22.54,lightly_active,weight_loss,Low Calorie,1473
237,17,female,148.8,58.0,26.2,moderately_active,muscle_gain,High Protein,2592
238,53,male,153.7,69.7,29.5,moderately_active,muscle_gain,Low Calorie,2654
239,51,male,153.1,65.2,27.82,moderately_active,muscle_gain,Low Calorie,2455
240,16,male,175.2,72.4,23.59,very_active,weight_loss,Low Calorie,1534
241,60,female,158.4,99.8,39.78,moderately_active,maintenance,Low Calorie,1902
242,23,male,179.6,69.9,21.67,very_active,weight_loss,Low Calorie,1749
243,57,female,155.4,48.6,20.12,moderately_active,muscle_gain,High Protein,2361
244,65,male,161.4,57.3,22.0,lightly_active,weight_gain,High Energy,2742
245,16,female,155.8,76.5,31.52,very_active,weight_gain,Low Calorie,3126
246,19,male,159.4,100.0,39.36,very_active,maintenance,Low Calorie,2193
247,51,female,147.2,98.5,45.46,sedentary,maintenance,Low Calorie,2038
248,23,female,171.3,87.9,29.96,lightly_active,weight_gain,Low Calorie,2943
249,22,male,167.2,61.7,22.07,lightly_active,muscle_gain,High Protein,2430
250,48,female,171.8,91.5,31.0,moderately_active,weight_gain,Low Calorie,3150
251,23,female,163.8,78.8,29.37,sedentary,weight_gain,Low Calorie,3106
252,25,male,172.4,84.6,28.46,moderately_active,weight_loss,Low Calorie,1414
253,17,male,183.1,87.4,26.07,moderately_active,weight_gain,High Energy,3085
254,54,female,164.2,72.4,26.85,moderately_active,muscle_gain,High Protein,2694
255,58,male,163.0,69.9,26.31,sedentary,weight_gain,High Energy,2950
256,45,female,158.9,63.7,25.23,lightly_active,muscle_gain,High Protein,2526
257,40,female,148.9,65.4,29.5,sedentary,muscle_gain,Low Calorie,2447
258,22,female,153.0,58.6,25.03,sedentary,weight_loss,Low Calorie,1548
259,54,female,157.5,97.9,39.47,lightly_active,muscle_gain,Low Calorie,2791
260,27,female,167.9,72.4,25.68,very_active,maintenance,Fiber Rich,1957
261,16,female,147.7,66.6,30.53,very_active,weight_gain,Low Calorie,2720
262,18,female,146.5,72.2,33.64,very_active,muscle_gain,Low Calorie,2749
263,21,male,163.9,93.5,34.81,moderately_active,maintenance,Low Calorie,1987
264,40,male,149.9,75.9,33.78,moderately_active,muscle_gain,Low Calorie,2275
265,47,female,158.5,75.2,29.93,sedentary,weight_gain,Low Calorie,2599
266,38,female,168.8,63.6,22.32,moderately_active,weight_gain,High Protein,2703
267,47,female,146.2,47.1,22.04,moderately_active,maintenance,High Protein,2065
268,24,female,163.2,73.4,27.56,moderately_active,muscle_gain,Low Calorie,2366
269,54,female,167.2,61.5,22.0,moderately_active,maintenance,High Protein,2162
270,45,female,169.5,65.3,22.73,sedentary,maintenance,Balanced Diet,2098
271,65,female,172.0,93.0,31.44,sedentary,maintenance,Low Calorie,1935
272,61,male,149.9,71.4,31.78,very_active,weight_gain,Low Calorie,3197
273,17,male,169.2,83.5,29.17,lightly_active,weight_loss,Low Calorie,1625
274,41,female,149.5,83.0,37.14,very_active,maintenance,Low Calorie,2176
275,60,male,153.1,56.4,24.06,moderately_active,maintenance,High Protein,2069
276,35,female,173.7,70.3,23.3,moderately_active,muscle_gain,High Protein,2470
277,27,female,173.7,60.3,19.99,moderately_active,weight_gain,High Protein,2804
278,60,female,151.2,83.8,36.66,moderately_active,maintenance,Low Calorie,1978
279,33,female,148.7,82.2,37.17,very_active,maintenance,Low Calorie,1976
280,33,male,149.6,97.5,43.57,sedentary,muscle_gain,Low Calorie,2652
281,62,female,159.4,56.1,22.08,moderately_active,muscle_gain,High Protein,2340
282,54,male,175.4,58.2,18.92,sedentary,weight_gain,High Energy,3153
283,18,male,151.7,63.2,27.46,very_active,weight_loss,Low Calorie,1748
284,15,male,183.7,98.8,29.28,lightly_active,maintenance,Low Calorie,2134
285,45,female,164.5,86.6,32.0,moderately_active,muscle_gain,Low Calorie,2492
286,64,male,151.3,76.6,33.46,sedentary,weight_gain,Low Calorie,2927
287,17,male,184.9,66.8,19.54,very_active,weight_gain,High Protein,2796
288,15,male,159.0,78.2,30.93,moderately_active,muscle_gain,Low Calorie,2665
289,23,female,170.5,70.7,24.32,lightly_active,weight_loss,Low Calorie,1569
290,61,male,165.0,59.1,21.71,lightly_active,weight_loss,Low Calorie,1777
291,65,female,153.9,82.1,34.66,lightly_active,weight_gain,Low Calorie,3125
292,42,female,160.5,49.8,19.33,sedentary,weight_gain,High Energy,2643
293,35,female,173.1,45.4,15.15,very_active,weight_gain,High Protein,2957
294,36,female,154.1,84.8,35.71,sedentary,muscle_gain,Low Calorie,2568
295,18,male,172.7,70.6,23.67,lightly_active,maintenance,Balanced Diet,2151
296,59,female,148.5,95.4,43.26,moderately_active,muscle_gain,Low Calorie,2426
297,23,male,165.7,70.0,25.49,moderately_active,maintenance,Fiber Rich,2159
298,63,female,161.1,81.5,31.4,lightly_active,weight_gain,Low Calorie,3196
299,48,male,164.5,83.7,30.93,sedentary,weight_loss,Low Calorie,1431
300,51,male,167.9,54.0,19.16,very_active,weight_loss,Low Calorie,1748
301,60,male,169.6,50.0,17.38,very_active,weight_loss,Low Calorie,1632
302,47,male,163.4,76.0,28.46,very_active,muscle_gain,Low Calorie,2222
303,31,female,169.5,86.0,29.93,sedentary,weight_loss,Low Calorie,1616
304,59,female,146.9,99.7,46.2,sedentary,maintenance,Low Calorie,1816
305,41,female,150.4,52.4,23.17,very_active,muscle_gain,High Protein,2591
306,39,female,156.3,82.6,33.81,lightly_active,muscle_gain,Low Calorie,2321
307,49,male,162.5,52.0,19.69,lightly_active,weight_loss,Low Calorie,1787
308,34,male,165.1,84.6,31.04,very_active,maintenance,Low Calorie,1917
309,44,male,160.8,60.2,23.28,sedentary,weight_loss,Low Calorie,1738
310,54,female,168.0,93.6,33.16,sedentary,weight_gain,Low Calorie,2711
311,21,male,170.0,69.6,24.08,sedentary,weight_gain,High Energy,2545
312,43,female,152.0,56.9,24.63,sedentary,weight_gain,High Energy,3015
313,29,female,169.5,85.2,29.66,moderately_active,muscle_gain,Low Calorie,2442
314,24,female,174.6,73.7,24.18,very_active,muscle_gain,High Protein,2481
315,50,male,183.1,93.4,27.86,lightly_active,maintenance,Low Calorie,2084
316,18,female,174.2,96.8,31.9,very_active,muscle_gain,Low Calorie,2626
317,24,female,154.0,55.1,23.23,very_active,weight_gain,High Protein,2730
318,60,female,149.3,70.5,31.63,sedentary,maintenance,Low Calorie,2013
319,39,male,157.0,56.2,22.8,sedentary,maintenance,Balanced Diet,1989
320,49,male,174.8,55.5,18.16,moderately_active,maintenance,High Protein,2144
321,19,male,155.0,86.9,36.17,lightly_active,maintenance,Low Calorie,1906
322,34,female,173.7,45.8,15.18,lightly_active,weight_loss,Low Calorie,1782
323,30,female,165.9,83.7,30.41,very_active,weight_gain,Low Calorie,3065
324,64,female,153.5,70.6,29.96,moderately_active,muscle_gain,Low Calorie,2467
325,47,female,171.5,70.6,24.0,very_active,muscle_gain,High Protein,2408
326,35,female,157.4,75.9,30.64,lightly_active,weight_gain,Low Calorie,2516
327,50,female,173.0,76.9,25.69,very_active,muscle_gain,High Protein,2356
328,36,male,156.5,76.3,31.15,lightly_active,maintenance,Low Calorie,2081
329,31,female,167.9,71.9,25.51,very_active,maintenance,Fiber Rich,1886
330,25,female,149.2,75.1,33.74,lightly_active,weight_loss,Low Calorie,1668
331,19,male,183.0,81.8,24.43,sedentary,maintenance,Balanced Diet,1870
332,19,male,174.2,45.5,14.99,very_active,muscle_gain,High Protein,2261
333,57,female,159.6,45.4,17.82,very_active,weight_loss,Low Calorie,1408
334,49,female,174.3,45.9,15.11,very_active,weight_gain,High Protein,2609
335,48,male,153.5,55.6,23.6,moderately_active,muscle_gain,High Protein,2473
336,20,female,156.2,67.3,27.58,lightly_active,weight_gain,Low Calorie,2807
337,56,male,184.7,80.7,23.66,sedentary,weight_loss,Low Calorie,1607
338,39,female,161.6,48.1,18.42,sedentary,weight_gain,High Energy,2584
339,42,female,164.3,63.2,23.41,sedentary,weight_loss,Low Calorie,1517
340,59,male,180.8,71.2,21.78,sedentary,weight_loss,Low Calorie,1750
341,49,female,161.9,46.8,17.85,moderately_active,weight_loss,Low Calorie,1506
342,63,male,178.4,90.1,28.31,sedentary,muscle_gain,Low Calorie,2366
343,51,male,178.9,66.4,20.75,moderately_active,maintenance,High Protein,2186
344,65,male,184.6,84.8,24.88,moderately_active,weight_loss,Low Calorie,1450
345,29,female,170.2,63.7,21.99,very_active,muscle_gain,High Protein,2230
346,65,female,174.8,72.0,23.56,moderately_active,maintenance,High Protein,2021
347,58,male,169.7,65.9,22.88,moderately_active,weight_gain,High Protein,2575
348,32,male,153.7,84.1,35.6,lightly_active,maintenance,Low Calorie,1962
349,21,female,147.7,96.9,44.42,very_active,muscle_gain,Low Calorie,2476
350,23,male,151.2,68.7,30.05,very_active,weight_loss,Low Calorie,1413
351,37,male,168.5,77.8,27.4,moderately_active,maintenance,Fiber Rich,1806
352,41,female,156.6,49.7,20.27,lightly_active,weight_gain,High Energy,2889
353,23,male,158.0,59.8,23.95,lightly_active,weight_loss,Low Calorie,1485
354,32,female,157.6,71.6,28.83,sedentary,muscle_gain,Low Calorie,2457
355,61,male,171.1,77.7,26.54,lightly_active,maintenance,Fiber Rich,1854
356,34,male,148.3,66.8,30.37,very_active,muscle_gain,Low Calorie,2650
357,42,female,169.5,92.3,32.13,lightly_active,muscle_gain,Low Calorie,2528
358,45,male,159.6,98.1,38.51,moderately_active,muscle_gain,Low Calorie,2702
359,35,male,161.9,89.9,34.3,very_active,muscle_gain,Low Calorie,2316
360,52,male,184.9,54.9,16.06,sedentary,maintenance,High Energy,2162
